id,model,SKU,scaned_images_path,website_images_path,category,source,first_date,semi,avg_of_stones,craeted_at,updated_at
120,1-0091,G10091,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-09,2024-04-22
121,1-0092,G10092,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-09,2024-04-22
122,1-0093,G10093,H:\Gold-Models\,H:\Gold-Models\, , production,11/07/2020, ,Not Available,2018-01-09,2024-04-22
123,1-0094,G10094,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
124,1-0095,G10095,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
125,1-0096,G10096,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
126,1-0097,G10097,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
127,1-0098,G10098,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
128,1-0099,G10099,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-09,2024-04-22
129,1-0100,G10100,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-09,2024-04-22
130,1-0101,G10101,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
131,1-0102,G10102,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
132,1-0103,G10103,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
133,1-0104,G10104,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
134,1-0105,G10105,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
135,1-0106,G10106,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
136,1-0107,G10107,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
137,1-0108,G10108,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
138,1-0109,G10109,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
139,1-0110,G10110,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
140,1-0111,G10111,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
141,1-0112,G10112,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
142,1-0113,G10113,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
143,1-0114,G10114,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
144,1-0115,G10115,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
145,1-0116,G10116,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,2018-01-10,2024-04-22
146,1-0117,G10117,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
147,1-0118,G10118,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,2018-01-10,2024-04-22
