id,model,SKU,scaned_images_path,website_images_path,category,source,first_date,semi,avg_of_stones,craeted_at,updated_at
2526,2-0866,G20866,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2527,2-0867,G20867,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2528,2-0868,G20868,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2529,2-0869,G20869,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2530,2-0870,G20870,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2531,2-0871,G20871,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2532,2-0872,G20872,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2533,2-0873,G20873,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2534,2-0875,G20875,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2535,2-0876,G20876,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2536,2-0877,G20877,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2537,2-0878,G20878,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2538,2-0879,G20879,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2539,2-0880,G20880,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2540,2-0881,G20881,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2541,2-0882,G20882,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2542,2-0883,G20883,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2543,2-0884,G20884,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2544,2-0885,G20885,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2545,2-0886,G20886,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2546,2-0887,G20887,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2547,2-0888,G20888,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2548,2-0889,G20889,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2549,2-0890,G20890,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2550,2-0891,G20891,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2551,2-0892,G20892,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2552,2-0893,G20893,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2553,2-0894,G20894,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2554,2-0895,G20895,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2555,2-0896,G20896,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2556,2-0897,G20897,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2557,2-0898,G20898,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2558,2-0899,G20899,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2559,2-0900,G20900,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2560,2-0901,G20901,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2561,2-0902,G20902,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2562,2-0903,G20903,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,22/08/2017,22/04/2024
2563,2-0904,G20904,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2564,2-0905,G20905,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2565,2-0906-A,G20906A,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,12/04/2021,22/04/2024
2566,2-0906-B,G20906B,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,12/04/2021,22/04/2024
2567,2-0906,G20906,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,26/06/2023,22/04/2024
2568,2-0907-A,G20907A,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,12/04/2021,22/04/2024
2569,2-0907-B,G20907B,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,12/04/2021,22/04/2024
2570,2-0907,G20907,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,26/06/2023,22/04/2024
2571,2-0908,G20908,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2572,2-0909,G20909,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2573,2-0910,G20910,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2574,2-0911,G20911,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2575,2-0912,G20912,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2576,2-0913-A,G20913A,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,12/04/2021,22/04/2024
2577,2-0913-B,G20913B,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,12/04/2021,22/04/2024
2578,2-0913,G20913,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,26/06/2023,22/04/2024
2579,2-0914,G20914,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2580,2-0915-A,G20915A,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,12/04/2021,22/04/2024
2581,2-0915-B,G20915B,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,12/04/2021,22/04/2024
2582,2-0915,G20915,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,26/06/2023,22/04/2024
2583,2-0916,G20916,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2584,2-0917,G20917,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2585,2-0918,G20918,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2586,2-0919,G20919,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2587,2-0920,G20920,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,Semi,Not Available,30/05/2023,22/04/2024
2588,2-0921,G20921,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2589,2-0922,G20922,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2590,2-0923,G20923,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2591,2-0924,G20924,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2592,2-0925,G20925,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2593,2-0926,G20926,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2594,2-0927,G20927,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2595,2-0928,G20928,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2596,2-0929,G20929,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2597,2-0930,G20930,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2598,2-0931,G20931,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2599,2-0932,G20932,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2600,2-0933,G20933,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2601,2-0934,G20934,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2602,2-0935,G20935,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2603,2-0936,G20936,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2604,2-0937,G20937,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2605,2-0938,G20938,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2606,2-0939,G20939,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2607,2-0940,G20940,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2608,2-0941,G20941,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2609,2-0942,G20942,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2610,2-0943,G20943,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2611,2-0944-A,G20944A,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,12/04/2021,22/04/2024
2612,2-0944-B,G20944B,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,12/04/2021,22/04/2024
2613,2-0945,G20945,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2614,2-0946,G20946,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2615,2-0947-A,G20947A,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,12/04/2021,22/04/2024
2616,2-0947-B,G20947B,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,12/04/2021,22/04/2024
2617,2-0948,G20948,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2618,2-0949,G20949,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2619,2-0950,G20950,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2620,2-0951,G20951,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,30/05/2023,22/04/2024
2621,2-0952,G20952,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,30/05/2023,22/04/2024
2622,2-0953,G20953,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,30/05/2023,22/04/2024
2623,2-0954,G20954,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2624,2-0955,G20955,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2625,2-0956,G20956,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2626,2-0957,G20957,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2627,2-0958,G20958,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2628,2-0959,G20959,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,21/08/2017,22/04/2024
2629,2-0960,G20960,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2630,2-0961,G20961,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/05/2014,22/04/2024
2631,2-0962,G20962,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,09/06/2014,22/04/2024
2632,2-0963,G20963,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2633,2-0964,G20964,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2634,2-0965,G20965,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2635,2-0966,G20966,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2636,2-0967,G20967,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2637,2-0968,G20968,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2638,2-0969,G20969,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2639,2-0970,G20970,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,21/08/2017,22/04/2024
2640,2-0971,G20971,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2641,2-0972,G20972,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2642,2-0973,G20973,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,12/06/2023,22/04/2024
2643,2-0974,G20974,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2644,2-0975,G20975,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2645,2-0976,G20976,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,24/05/2023,22/04/2024
2646,2-0977,G20977,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2647,2-0978,G20978,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2648,2-0979,G20979,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2649,2-0980,G20980,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2650,2-0981,G20981,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2651,2-0982,G20982,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2652,2-0983,G20983,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2653,2-0984,G20984,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2654,2-0985,G20985,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2655,2-0986,G20986,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2656,2-0987,G20987,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2657,2-0988,G20988,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2658,2-0989,G20989,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2659,2-0990,G20990,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2660,2-0991,G20991,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2661,2-0992,G20992,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2662,2-0993,G20993,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2663,2-0994,G20994,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,12/06/2023,22/04/2024
2664,2-0995,G20995,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2665,2-0996,G20996,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2666,2-0997,G20997,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2667,2-0998,G20998,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2668,2-0999,G20999,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2669,2-1000,G21000,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2670,2-1001,G21001,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2671,2-1002,G21002,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,12/06/2023,22/04/2024
2672,2-1003,G21003,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2673,2-1004,G21004,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,12/06/2023,22/04/2024
2674,2-1005,G21005,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2675,2-1006,G21006,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2676,2-1007,G21007,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,12/06/2023,22/04/2024
2677,2-1008,G21008,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2678,2-1009,G21009,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2679,2-1010,G21010,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2680,2-1011,G21011,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2681,2-1012,G21012,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2682,2-1013,G21013,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2683,2-1014,G21014,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2684,2-1015,G21015,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2685,2-1016,G21016,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,21/08/2017,22/04/2024
2686,2-1017,G21017,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2687,2-1018,G21018,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2688,2-1019,G21019,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2689,2-1020,G21020,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2690,2-1021,G21021,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2691,2-1022,G21022,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2692,2-1023,G21023,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2693,2-1024,G21024,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2694,2-1025,G21025,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,13/06/2023,22/04/2024
2695,2-1026,G21026,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2696,2-1027,G21027,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2697,2-1028,G21028,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,12/06/2023,22/04/2024
2698,2-1029,G21029,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2699,2-1030,G21030,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2700,2-1031,G21031,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD, ,Not Available,12/06/2023,22/04/2024
2701,2-1032,G21032,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2702,2-1033,G21033,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,30/05/2023,22/04/2024
2703,2-1034,G21034,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2704,2-1035,G21035,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2705,2-1036,G21036,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2706,2-1037,G21037,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2707,2-1038,G21038,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2708,2-1039,G21039,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2709,2-1040,G21040,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2710,2-1041,G21041,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2711,2-1042,G21042,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2712,2-1043,G21043,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2713,2-1044,G21044,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2714,2-1045,G21045,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2715,2-1046,G21046,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2716,2-1047,G21047,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2717,2-1048- A,G21048 A,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2718,2-1048-A,G21048A,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,13/03/2023,22/04/2024
2719,2-1048-b,G21048b,H:\Gold-Models\,H:\Gold-Models\, , production,28/09/2021, ,Not Available,30/05/2023,22/04/2024
2720,2-1048,G21048,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,26/06/2023,22/04/2024
2721,2-1049-A,G21049A,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,26/12/2022,22/04/2024
2722,2-1049-B,G21049B,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,11/05/2023,22/04/2024
2723,2-1049-C,G21049C,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,08/04/2021,22/04/2024
2724,2-1049-D,G21049D,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,06/05/2023,22/04/2024
2725,2-1049,G21049,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,20/06/2023,22/04/2024
2726,2-1050,G21050,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,12/03/2015,22/04/2024
2727,2-1051,G21051,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2728,2-1052,G21052,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2729,2-1053,G21053,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2730,2-1054,G21054,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,13/06/2023,22/04/2024
2731,2-1055,G21055,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2732,2-1056,G21056,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2733,2-1057,G21057,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2734,2-1058,G21058,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2735,2-1059,G21059,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2736,2-1060,G21060,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,21/08/2017,22/04/2024
2737,2-1061,G21061,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2738,2-1062,G21062,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2739,2-1063,G21063,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2740,2-1064,G21064,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,30/05/2023,22/04/2024
2741,2-1065,G21065,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2742,2-1066,G21066,H:\Gold-Models\,H:\Gold-Models\, , production, ,PRL,Not Available,21/08/2017,22/04/2024
2743,2-1067,G21067,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2744,2-1068,G21068,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2745,2-1069,G21069,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2746,2-1070,G21070,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2747,2-1071,G21071,H:\Gold-Models\,H:\Gold-Models\,*, production,OLD,Ein,0.15,30/05/2023,22/04/2024
2748,2-1072,G21072,H:\Gold-Models\,H:\Gold-Models\, , production,31/08/2021, ,Not Available,21/08/2017,22/04/2024
2749,2-1073,G21073,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2750,2-1074,G21074,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2751,2-1075,G21075,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2752,2-1076,G21076,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2753,2-1077,G21077,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,21/08/2017,22/04/2024
2754,2-1078,G21078,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2755,2-1079,G21079,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,30/05/2023,22/04/2024
2756,2-1080,G21080,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2757,2-1081,G21081,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
2758,2-1082,G21082,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,21/08/2017,22/04/2024
