id,model,SKU,scaned_images_path,website_images_path,category,source,first_date,semi,avg_of_stones,craeted_at,updated_at
8792,7-0936,G70936,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,12/01/2018,22/04/2024
8793,7-0937,G70937,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,12/01/2018,22/04/2024
8794,7-0938,G70938,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,11/03/2023,22/04/2024
8795,7-0939,G70939,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,12/01/2018,22/04/2024
8796,7-0940,G70940,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,12/01/2018,22/04/2024
8797,7-0941,G70941,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,12/01/2018,22/04/2024
8798,7-0942,G70942,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,Semi,Not Available,09/01/2023,22/04/2024
8799,7-0943,G70943,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD,Semi,0.30,04/05/2023,22/04/2024
8800,7-0944,G70944,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,12/01/2018,22/04/2024
8801,7-0945-A,G70945A,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,Semi,Not Available,24/05/2023,22/04/2024
8802,7-0945-B,G70945B,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,Semi,Not Available,24/05/2023,22/04/2024
8803,7-0945,G70945,H:\Gold-Models\,H:\Gold-Models\,*, production, , ,Not Available,12/01/2018,22/04/2024
8804,7-0946,G70946,H:\Gold-Models\,H:\Gold-Models\, , production,OLD, ,Not Available,25/05/2023,22/04/2024
8805,7-0947,G70947,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,12/01/2018,22/04/2024
8806,7-0948,G70948,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,01/04/2018,22/04/2024
8807,7-0949,G70949,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,01/04/2018,22/04/2024
8808,7-0950,G70950,H:\Gold-Models\,H:\Gold-Models\,**, production,11/06/2021,Faroz,0.10,24/05/2023,22/04/2024
8809,7-0951,G70951,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,30/03/2023,22/04/2024
8810,7-0952,G70952,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD,Semi,1.50,26/05/2023,22/04/2024
8811,7-0953,G70953,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD, ,Not Available,23/05/2023,22/04/2024
8812,7-0954,G70954,H:\Gold-Models\,H:\Gold-Models\,***, production,OLD,Semi,0.50,24/05/2023,22/04/2024
8813,7-0955,G70955,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,Semi,0.96,23/05/2023,22/04/2024
8814,7-0956,G70956,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD,Semi,0.50,12/01/2023,22/04/2024
8815,7-0957,G70957,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,24/05/2023,22/04/2024
8816,7-0958-A,G70958A,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,26/05/2023,22/04/2024
8817,7-0958-B,G70958B,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD, ,Not Available,24/05/2023,22/04/2024
8818,7-0958-C,G70958C,H:\Gold-Models\,H:\Gold-Models\,**, production,OLD,Sadaf,0.20,24/05/2023,22/04/2024
8819,7-0959,G70959,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,Semi,0.23,01/04/2018,22/04/2024
8820,7-0960,G70960,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,Semi,0.25,13/03/2023,22/04/2024
8821,7-0961-A,G70961A,H:\Gold-Models\,H:\Gold-Models\, , production, ,Semi,Not Available,01/04/2018,22/04/2024
8822,7-0961-B,G70961B,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,01/04/2018,22/04/2024
8823,7-0962,G70962,H:\Gold-Models\,H:\Gold-Models\, , production, ,Semi,Not Available,01/04/2018,22/04/2024
8824,7-0963,G70963,H:\Gold-Models\,H:\Gold-Models\, , production, , ,Not Available,01/04/2018,22/04/2024
8825,7-0964-a,G70964a,H:\Gold-Models\,H:\Gold-Models\, , production, ,Semi,Not Available,01/04/2018,22/04/2024
8826,7-0964-b,G70964b,H:\Gold-Models\,H:\Gold-Models\, , production,OLD,Semi,Not Available,11/04/2023,22/04/2024
